"","brand1","brand2","frq"
"236","Lamborghini","Audi",425
"237","Lamborghini","Volkswagen",31
"238","Lamborghini","Ferrari",1977
"239","Lamborghini","Lexus",16
"240","Lamborghini","Volvo",3
"241","Mercedes-Benz","Jeep",61
"242","Mercedes-Benz","Subaru",5
"243","Mercedes-Benz","Dodge",8
"244","Mercedes-Benz","Tesla",252
"245","Mercedes-Benz","Toyota",457
"246","Mercedes-Benz","Honda",123
"247","Mercedes-Benz","Nissan",82
"248","Mercedes-Benz","Chevrolet",70
"249","Mercedes-Benz","Hyundai",25
"250","Mercedes-Benz","Mazda",20
"251","Mercedes-Benz","Renault",37
"252","Mercedes-Benz","Lamborghini",27
"253","Mercedes-Benz","BMW",1365
"254","Mercedes-Benz","Ford",315
"255","Mercedes-Benz","Porsche",261
"256","Mercedes-Benz","Audi",463
"257","Mercedes-Benz","Volkswagen",474
"258","Mercedes-Benz","Ferrari",335
"259","Mercedes-Benz","Lexus",47
"260","Mercedes-Benz","Volvo",18
"261","BMW","Jeep",31
"262","BMW","Subaru",9
"263","BMW","Dodge",10
"264","BMW","Tesla",149
"265","BMW","Toyota",235
"266","BMW","Honda",206
"267","BMW","Nissan",103
"268","BMW","Chevrolet",57
"269","BMW","Hyundai",28
"270","BMW","Mazda",38
"271","BMW","Renault",39
"272","BMW","Lamborghini",26
"273","BMW","Mercedes-Benz",910
"274","BMW","Ford",167
"275","BMW","Porsche",270
"276","BMW","Audi",340
"277","BMW","Volkswagen",185
"278","BMW","Ferrari",119
"279","BMW","Lexus",21
"280","BMW","Volvo",14
"281","Ford","Jeep",86
"282","Ford","Subaru",9
"283","Ford","Dodge",45
"284","Ford","Tesla",221
"285","Ford","Toyota",317
"286","Ford","Honda",362
"287","Ford","Nissan",168
"288","Ford","Chevrolet",301
"289","Ford","Hyundai",21
"290","Ford","Mazda",104
"291","Ford","Renault",8
"292","Ford","Lamborghini",25
"293","Ford","Mercedes-Benz",233
"294","Ford","BMW",256
"295","Ford","Porsche",175
"296","Ford","Audi",67
"297","Ford","Volkswagen",123
"298","Ford","Ferrari",236
"299","Ford","Lexus",15
"300","Ford","Volvo",8
"301","Porsche","Jeep",46
"302","Porsche","Subaru",6
"303","Porsche","Dodge",4
"304","Porsche","Tesla",172
"305","Porsche","Toyota",172
"306","Porsche","Honda",103
"307","Porsche","Nissan",59
"308","Porsche","Chevrolet",52
"309","Porsche","Hyundai",9
"310","Porsche","Mazda",30
"311","Porsche","Renault",23
"312","Porsche","Lamborghini",110
"313","Porsche","Mercedes-Benz",542
"314","Porsche","BMW",1273
"315","Porsche","Ford",541
"316","Porsche","Audi",456
